S.No,Course Name,Timing
151,INDUSTRIAL MULTIPHASE REACTORS-CLL733,"MW 11:00-12:00 ,Th 12:00-13:00"
152,CHEMICAL ENGG. MATHEMATICS-CLL761,TThF 11:00-12:00
153,INTERFACIAL ENGINEERING-CLL766,TThF 11:00-12:00
154,FUNDAMENTALS OF COMP. FLUID DY-CLL768,TWF 10:00-11:00
155,PROCESS DATA ANALYTICS-CLL788,MTh 15:30-17:00
156,MEMBRANE SCIENCE & ENGINEERING-CLL793,TThF 11:00-12:00
157,"SELECTED TOPICS IN CHEMICAL ENGINEERING-I (CARBON CAPTURE, UTILIZATION, AND STORAGE)-CLL798B",TWF 10:00-11:00
158,SELECTED TOPICS IN CHEMICAL ENGINEERING-II (INTRODUCTION TO MICRO HYDRODYNAMICS)-CLL799C,TThF 11:00-12:00
159,CHEMICAL ENGINEERING LAB - II-CLP302,
160,TECHNICAL COMMUNICATION FOR CHEMICAL ENGINEERS-CLP704,
161,SEMINAR COURSE - I-CLQ301,
162,RECENT  ADV. IN CHEMICAL ENGG.-CLV797,TWF 10:00-11:00
163,PROJECT PART II-CMD641,
164,MAJOR  PROJECT PART - II-CMD807,
165,INTRODUCTION TO CHEMISTRY-CML101,TWF 08:00-09:00
166,INTRODUCTION TO CHEMISTRY-CML101,TWF 15:30-16:30
167,MOLECULAR THERMODYNAMICS-CML521,TWF 08:00-09:00
168,CHEMICAL DYNA. & SURFACE CHEM.-CML522,MTh 08:00-09:30
169,ORGANIC SYNTHESIS-CML523,TWF 09:00-10:00
170,TRAN. & INNER TRAN. METAL CHE.-CML524,TThF 11:00-12:00
171,BASIC ORGANOMETALIC CHEMISTRY-CML525,MTh 09:30-11:00
172,STR. & FUNC. OF CELLULAR BIOM.-CML526,TWF 10:00-11:00
173,SOLID STATE CHEMISTRY-CML661,MTh 09:30-11:00
174,BIOPHYSICAL CHEMISTRY-CML665,MTF 12:00-13:00
175,INORGANIC POLYMERS-CML672,"MW 11:00-12:00 ,Th 12:00-13:00"
176,BIO-ORGANIC AND MEDICINAL CHEMISTRY-CML673,TThF 11:00-12:00
177,CHEMISTRY OF HETEROCYCLIC COMPOUNDS-CML675,TF 15:30-17:00
178,INORGANIC POLYMERS-CML682,TWF 10:00-11:00
179,SYNTHESIS OF INDUSTRIALLY IMPO-CML724,TF 14:00-15:30
180,MATERIAL CHARACTERIZATION-CML729,"W 12:00-13:00 ,TF 17:00-18:00"
181,SEPARATION AND ELECTROANALYTIC-CML731,TWF 09:00-10:00
182,CHEMISTRY OF INDUSTRIAL CATALY-CML733,TWF 08:00-09:00
183,CHEMISTRY OF NANOSTRUCTURED  M-CML734,MTF 12:00-13:00
184,BIOSYNTHETIC APPROACH TOWARDS NATURAL PRODUCTS-CML735,"MW 11:00-12:00 ,Th 12:00-13:00"
185,APPLIED SPECTROSCOPY-CML737,TWF 10:00-11:00
Department    
S.No,Course Name,Lecture Time
186,APPLICATIONS OF P-BLOCK ELEMEN-CML738,TThF 11:00-12:00
187,CHEMISTRY OF HETEROCYCLIC COMP-CML740,TF 15:30-17:00
188,REAGENTS IN SYNTHETIC TRANSFOR-CML742,TWF 08:00-09:00
189,COMPUTATIONAL QUANTUM CHEMISTRY-CML760,MTh 09:30-11:00
190,MOLECULAR MODELLING AND SIMULA-CML801,MTh 14:00-15:30
191,CHEMISTRY LABORATORY-CMP100,
192,LAB III-CMP521,
193,LAB IV-CMP522,
194,INSTRUMENTATION LABORATORY-CMP728,
195,SEMINAR IN CONSTRUCTION TECHNO-CVC772,
196,BTECH PROJECT PART 1-CVD411,
197,BTECH PROJECT PART 2-CVD412,
198,MINOR PROJECT-CVD700,
199,MINOR PROJECT-CVD710,
200,MAJOR THESIS PART-I-CVD720,
201,MAJOR THESIS PART-II-CVD721,
202,MAJOR PROJECT PART-I (CES)-CVD757,
203,MAJOR PROJECT PART-II (CES)-CVD758,
204,MAJOR PROJECT PART-I (CEC)-CVD772,
205,MAJOR PROJECT PART-II (CEC)-CVD773,
206,MAJOR PROJECT PART-I (CET)-CVD777,
207,MAJOR PROJECT PART-II (CET)-CVD778,
208,MAJOR PROJECT PART-I-CVD800,
209,MAJOR THESIS PART-II-CVD801,
210,MAJOR PROJECT PART-I-CVD810,
211,MAJOR PROJECT PART-II (CEU)-CVD811,
212,MAJOR PROJECT PART-I-CVD831,
213,MAJOR PROJECT PART-II-CVD832,
214,MAJOR PROJECT PART-I-CVD853,
215,MAJOR PROJECT PART-II-CVD854,
216,MSR MAJOR PROJECT-CVD895,
217,ENVIRONMENTAL SCIENCE-CVL100A,TWF 08:00-09:00
218,ENVIRONMENTAL SCIENCE-CVL100B,TWF 08:00-09:00
219,ENVIRONMENTAL ENGINEERING-CVL212,MTh 09:30-11:00
220,SOIL MECHANICS-CVL222,TThF 11:00-12:00
221,STRUCTURAL ANALYSIS I-CVL242,TWF 09:00-10:00
222,CONSTRUCTION PRACTICES-CVL244,TWF 08:00-09:00
223,INTRO. TO TRANSPORTATION ENGG.-CVL261,MTh 09:30-11:00
224,HYDRAULICS-CVL281,TWF 10:00-11:00
225,AIR AND NOISE POLLUTION-CVL313,MTh 08:00-09:30
226,STEEL DESIGN-CVL342,TWF 09:00-10:00
227,DESIGN OF HYDRAULIC STRUCTURES-CVL381,TWF 10:00-11:00
228,GROUNDWATER-CVL382,"MW 11:00-12:00 ,Th 12:00-13:00"
229,SOIL DYNAMICS-CVL423,TWF 09:00-10:00
230,STABILITY OF SLOPES-CVL432,TWF 10:00-11:00
231,PRESTRESSED CON. & IND. STRUC.-CVL443,"MW 11:00-12:00 ,Th 12:00-13:00"
232,LOGISTICS & FREIGHT TRANSPORT-CVL461,MTh 08:00-09:30
233,GROUND IMPROVEMENT AND GEOSYNTHETICS-CVL702,MTh 09:30-11:00
234,GEOENVIRONMENTAL ENGINEERING-CVL703,"MW 11:00-12:00 ,Th 12:00-13:00"
235,SLOPES AND RETAINING STRUCTURES-CVL705,TWF 10:00-11:00
236,SOIL DYNAMICS AND EARTHQUAKE GEOTECHNICAL ENGG.-CVL706,TWF 09:00-10:00
237,SLOPES AND FOUNDATIONS-CVL712,TWF 10:00-11:00
238,ANALYSIS AND DESIGN OF UNDERGROUND STRUCTURES-CVL713,MTh 09:30-11:00
239,FIELD EXPLORATION AND GEOTECHNICAL PROCESSES-CVL714,TWF 09:00-10:00
240,SOLID WASTE ENGINEERING-CVL721,TThF 11:00-12:00
241,WASTE WATER ENGINEERING-CVL723,TWF 10:00-11:00
242,ENVIRONMENTAL SYSTEMS ANALYSIS-CVL724,MTh 08:00-09:30
243,ENVIRONMENTAL QUALITY MODELING-CVL728,MTh 14:00-15:30
244,ENVIRONMENTAL STATISTICS & EXP-CVL729,MTF 12:00-13:00
245,ADVANCED HYDRAULICS-CVL734,MTF 12:00-13:00
246,SOFT COMPUTING TECHNIQUES IN WATER RESOURCES-CVL736,MTh 08:00-09:30
247,AIRPORT PLANNING AND DESIGN-CVL743,MTh 17:00-18:30
248,DATA ANALYSIS FOR TRANSPORTATION ENGINEERING-CVL748,MTh 15:30-17:00
249,THEORY OF CONCRETE STRUCTURES-CVL760,TWF 10:00-11:00
250,THEORY OF STEEL STRUCTURES-CVL761,MTh 09:30-11:00
251,EARTHQUAKE ANALYSIS AND DESIGN-CVL762,TWF 09:00-10:00
252,DESIGN OF BRIDGE STRUCTURES-CVL766,MTh 08:00-09:30
253,CONSTRUCTION CONTRACT MGMT.-CVL774,TWF 08:00-09:00
254,CONSTRUCTION ECONOMICS AND FI-CVL775,MTh 09:30-11:00
255,CONSTRUCTION PRACTICES AND EQ-CVL776,TWF 09:00-10:00
256,BUILDING SERVICES AND MAINTENA-CVL778,MTh 17:00-18:30
257,NUMERICAL AND COMPUTER METHODS IN GEOMECHANICS-CVL811,MTh 08:00-09:30
258,GROUNDWATER FLOW AND POLLUTION MODELING-CVL830,TThF 11:00-12:00
259,URBAN WATER INFRASTRUCTURE-CVL834,"MW 11:00-12:00 ,Th 12:00-13:00"
260,DISCRETE CHOICE METHODS FOR TRAVEL DEMAND ANALYSIS-CVL848,MTh 14:00-15:30
261,TRAFFIC FLOW MODELLING-CVL849,"MW 11:00-12:00 ,Th 12:00-13:00"
262,SPECIAL TOPICS IN TRANSPORTATION ENGINEERING-CVL851,TF 15:30-17:00
263,STRUCTURAL HEALTH MONITORING-CVL864,MTF 12:00-13:00
264,STRUCTURAL VIBRATION CONTROL-CVL865,TWF 08:00-09:00
265,WAVES THROUGH PERIODIC STRUCTURES AND METAMATERIALS-CVL868,MTh 17:00-18:30
266,DURABILITY AND REPAIR OF CONCR-CVL871,"MW 11:00-12:00 ,Th 12:00-13:00"
267,SUSTAINABLE MATERIALS AND GREE-CVL875,MTh 08:00-09:30
268,SOIL MECHANICS LABORATORY-CVP222,
269,STRUCTURAL ANALYSIS LABORATORY-CVP242,
270,TRANSPORTATION ENGG. LABORATOR-CVP261,
271,HYDRAULICS LABORATORY-CVP281,
272,STRUCTURES & MATERIAL LAB-CVP342,
273,SIMULATION LABORATORY-I-CVP730,
274,SIMULATION LABORATORY-II-CVP731,
275,STRUCTURAL ENGINEERING LAB-CVP756,
276,CONSTRUCTION TECHNOLOGY LABORA-CVP771,
277,GEOENVIRONMENTAL AND GEOTECHNICAL ENGINEERING LAB-CVP800,
278,ROCK MECHANICS LABORATORY-II-CVP810,
279,ADVANCED AIR POLLUTION LABORATORY-CVP820,TF 15:30-17:00
280,CIVIL ENGINEERING SEMINAR-CVQ301,
281,DESIGN PROJECT-COD300,
282,MINI PROJECT-COD310,
283,B.TECH PROJECT PART 1-COD492,
284,B.TECH PROJECT PART 2-COD494,
285,MINOR PROJECT-COD745,
286,MINOR PROJECT-COD891,
287,M.TECH PROJECT PARTI-COD892,
288,M.TECH PROJECT PARTII-COD893,
289,MSR PROJECT-COD895,
290,INTRO. TO COMPUTER SCIENCE-COL100,MTh 15:30-17:00
291,DATA STRUCTURES AND ALGORITHMS-COL106,TThF 11:00-12:00
292,DISCRETE MATHEMATICAL STRUCTUR-COL202,TWF 10:00-11:00
293,COMPUTER ARCHITECTURE-COL216,MTh 09:30-11:00
294,PROGRAMMING LANGUAGES-COL226,TThF 11:00-12:00
295,OPERATING SYSTEMS-COL331,"W 12:00-13:00 ,TF 17:00-18:00"
296,ANALYSIS & DESIGN OF ALGORITHMS-COL351,MTh 08:00-09:30
297,INTRO TO AUTOMATA & TH. OF CO.-COL352,"MW 11:00-12:00 ,Th 12:00-13:00"
298,INTRO. TO DATABASE MGMT. SYST.-COL362,TWF 10:00-11:00
299,INTRO. TO PARALLEL & DIS. PRO.-COL380,MTF 12:00-13:00
300,INTRODUCTION TO DATA BASESYSTEMS-COL632,TWF 10:00-11:00
301,RESOURCE MANAGEMENT IN COMPUTER SYSTEMS-COL633,"W 12:00-13:00 ,TF 17:00-18:00"
302,SYNTHESIS OF DIGITAL SYSTEMS-COL719,MTF 12:00-13:00
303,NUMERICAL ALGORITHMS-COL726,MTh 09:30-11:00
304,COMPUTATIONAL SOCIAL CHOICE-COL749,MTh 15:30-17:00
305,FOUNDATIONS OF AUTOMATIC VERI.-COL750,TF 14:00-15:30
306,CRYPTOGRAPHY & COMPUTER SEC.-COL759,MTh 14:00-15:30
307,DATA MINING-COL761,TF 15:30-17:00
308,MACHINE LEARNING-COL774,TThF 11:00-12:00
309,PRINCIPLES OF AUTONOMOUS SYSTEMS-COL778,MTh 14:00-15:30
310,COMPUTER VISION-COL780,MTh 15:30-17:00
311,COMPUTER GRAPHICS-COL781,TF 14:00-15:30
312,ADVANCED FUNCTIONAL BRAIN IMG.-COL786,TF 15:30-17:00
